category,image,region,channel,n,mean,median,std,p10,p50,p90
potato_early_blight,02578b86-b234-4ac0-9bc3-691b5610e2bf___RS_Early.B 7562.JPG,lesion_proxy,V,3333,95.38763876387638,101.0,35.09982836154933,37.0,101.0,132.0
potato_early_blight,065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,leaf,H,37607,43.97723828010743,45.0,5.4715777918739095,38.0,45.0,49.0
potato_early_blight,065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,leaf,S,37607,94.67915547637408,91.0,26.63653913043773,66.0,91.0,129.0
potato_early_blight,065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,leaf,V,37607,138.90778312548196,141.0,20.54531021671257,113.0,141.0,163.0
potato_early_blight,065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,lesion_proxy,H,1641,26.525898842169408,28.0,6.605961395534935,16.0,28.0,34.0
potato_early_blight,065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,lesion_proxy,S,1641,82.73187081048141,79.0,31.05951534871237,47.0,79.0,123.0
potato_early_blight,065fc68f-88c9-4fc3-b0a6-a6f5e1072eaa___RS_Early.B 7174.JPG,lesion_proxy,V,1641,118.60024375380866,119.0,28.734742234360414,83.0,119.0,155.0
potato_early_blight,13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,leaf,H,33180,39.81422543701025,41.0,7.602537736570429,34.0,41.0,46.0
potato_early_blight,13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,leaf,S,33180,99.0507233273056,94.0,36.14953523780892,58.0,94.0,149.0
potato_early_blight,13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,leaf,V,33180,145.85409885473177,151.0,29.907140136091645,111.0,151.0,177.0
potato_early_blight,13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,lesion_proxy,H,3788,26.39361140443506,27.0,14.209606465037382,15.0,27.0,34.0
potato_early_blight,13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,lesion_proxy,S,3788,86.25818373812038,82.0,32.84458899848558,47.0,82.0,132.0
potato_early_blight,13cfb9dc-8951-44c0-8c16-e96fd6ccc659___RS_Early.B 7070.JPG,lesion_proxy,V,3788,122.35031678986273,129.0,43.283977106246475,55.0,129.0,172.0
potato_early_blight,1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,leaf,H,39094,44.18012994321379,46.0,9.128614288990352,34.0,46.0,53.0
potato_early_blight,1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,leaf,S,39094,78.78265206937125,66.0,40.392539870553904,45.0,66.0,131.0
potato_early_blight,1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,leaf,V,39094,148.42589655701642,158.0,33.93075338887341,98.0,158.0,182.0
potato_early_blight,1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,lesion_proxy,H,4288,23.97527985074627,24.0,8.878866874434056,12.0,24.0,34.0
potato_early_blight,1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,lesion_proxy,S,4288,70.41674440298507,60.0,35.46859907013671,41.0,60.0,109.0
potato_early_blight,1b4304a9-88c2-4c09-bfea-830fa162a35a___RS_Early.B 7188.JPG,lesion_proxy,V,4288,134.0048973880597,142.0,39.85070347476316,75.0,142.0,179.0
potato_early_blight,1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,leaf,H,33924,45.02670675627874,46.0,5.5478054557032905,40.0,46.0,50.0
potato_early_blight,1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,leaf,S,33924,88.5538261997406,84.0,26.596023141088825,58.0,84.0,125.0
potato_early_blight,1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,leaf,V,33924,137.55547694847306,141.0,23.416902702225936,107.0,141.0,165.0
potato_early_blight,1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,lesion_proxy,H,1350,25.58888888888889,27.0,7.129637325633173,15.0,27.0,33.0
potato_early_blight,1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,lesion_proxy,S,1350,78.93629629629629,76.0,27.056600775815095,46.0,76.0,113.0
potato_early_blight,1f80f111-6a3e-4dfc-8456-0f3e9a19ae10___RS_Early.B 6879.JPG,lesion_proxy,V,1350,115.26296296296296,114.0,28.36233350045833,80.0,114.0,153.0
potato_early_blight,2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,leaf,H,24292,41.01156759426972,41.0,4.383346051180186,37.0,41.0,46.0
potato_early_blight,2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,leaf,S,24292,129.33122015478347,120.5,40.40961488611718,84.0,120.5,191.0
potato_early_blight,2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,leaf,V,24292,137.20945167133212,145.0,34.474346730460674,85.0,145.0,178.0
potato_early_blight,2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,lesion_proxy,H,579,24.713298791019,25.0,8.546167176063477,14.0,25.0,34.0
potato_early_blight,2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,lesion_proxy,S,579,119.44214162348878,116.0,29.31847672166366,87.0,116.0,158.0
potato_early_blight,2639ad26-c7e9-4bd6-8000-c002f676a4c6___RS_Early.B 7150.JPG,lesion_proxy,V,579,80.95164075993091,68.0,36.558294375367936,45.0,68.0,143.0
potato_early_blight,2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,leaf,H,40807,40.93439851005955,42.0,5.851490729295231,36.0,42.0,45.0
potato_early_blight,2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,leaf,S,40807,87.86833141372804,87.0,18.83578547955857,65.0,87.0,110.0
potato_early_blight,2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,leaf,V,40807,145.31232386600337,148.0,17.016143998400697,126.0,148.0,163.0
potato_early_blight,2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,lesion_proxy,H,3214,25.231798382078406,27.0,8.659541036694455,14.0,27.0,34.0
potato_early_blight,2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,lesion_proxy,S,3214,66.30896079651525,65.0,16.298573489724692,48.0,65.0,87.0
potato_early_blight,2771e005-3cb4-4e12-8868-80adca5ce02a___RS_Early.B 8640.JPG,lesion_proxy,V,3214,139.32514001244556,139.0,17.85068426284645,117.0,139.0,162.0
potato_early_blight,2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,leaf,H,34094,38.137942159910835,40.0,6.84415394238966,31.0,40.0,43.0
potato_early_blight,2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,leaf,S,34094,105.18956414618408,100.0,31.502836263448007,71.0,100.0,145.0
potato_early_blight,2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,leaf,V,34094,148.2369625153986,154.0,27.84103983590882,117.0,154.0,176.0
potato_early_blight,2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,lesion_proxy,H,4791,25.05635566687539,26.0,9.78639303411787,12.0,26.0,34.0
potato_early_blight,2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,lesion_proxy,S,4791,83.2646629096222,77.0,31.628084266135584,56.0,77.0,114.0
potato_early_blight,2d344be7-2d5f-4d27-aeb2-b92c8191b877___RS_Early.B 7173.JPG,lesion_proxy,V,4791,135.86265915257775,143.0,34.327014158044,98.0,143.0,170.0
potato_early_blight,33019904-ac3b-4083-a192-ce4092758ddd___RS_Early.B 8344.JPG,leaf,H,37507,41.324579411843125,42.0,5.8949092626405895,36.0,42.0,47.0
potato_early_blight,33019904-ac3b-4083-a192-ce4092758ddd___RS_Early.B 8344.JPG,leaf,S,37507,89.84325592556056,82.0,32.54906262295652,60.0,82.0,130.0
potato_early_blight,33019904-ac3b-4083-a192-ce4092758ddd___RS_Early.B 8344.JPG,leaf,V,37507,121.88743434558883,126.0,27.623826052858302,84.0,126.0,153.0
potato_early_blight,33019904-ac3b-4083-a192-ce4092758ddd___RS_Early.B 8344.JPG,lesion_proxy,H,2934,26.83503749147921,28.0,7.4116049257418934,17.0,28.0,34.0
potato_early_blight,33019904-ac3b-4083-a192-ce4092758ddd___RS_Early.B 8344.JPG,lesion_proxy,S,2934,83.55112474437628,76.0,32.830480247710014,53.0,76.0,119.0
potato_early_blight,33019904-ac3b-4083-a192-ce4092758ddd___RS_Early.B 8344.JPG,lesion_proxy,V,2934,118.45126107702795,125.0,33.32270040193371,77.0,125.0,154.0
potato_early_blight,349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,leaf,H,36161,57.48237050966511,61.0,12.200033741585042,44.0,61.0,68.0
potato_early_blight,349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,leaf,S,36161,72.54074832001328,69.0,21.859657933881856,49.0,69.0,100.0
potato_early_blight,349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,leaf,V,36161,94.74843062968391,95.0,18.678758149648473,71.0,95.0,118.0
potato_early_blight,349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,lesion_proxy,H,2042,19.599902056807053,18.0,9.353701598026436,10.0,18.0,32.0
potato_early_blight,349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,lesion_proxy,S,2042,51.12977473065622,48.0,18.220767844696642,33.0,48.0,71.0
potato_early_blight,349730da-a627-4da6-90d5-707c4a3dba88___RS_Early.B 7553.JPG,lesion_proxy,V,2042,98.55337904015671,98.0,21.465398000151506,74.0,98.0,127.0
potato_early_blight,40d1ccba-b047-4f89-b469-af79bc233524___RS_Early.B 7006.JPG,leaf,H,24878,41.44521263767184,41.0,6.382723563986293,36.0,41.0,48.0
potato_early_blight,40d1ccba-b047-4f89-b469-af79bc233524___RS_Early.B 7006.JPG,leaf,S,24878,97.7619583567811,85.0,45.37893278487432,54.0,85.0,167.0
potato_early_blight,40d1ccba-b047-4f89-b469-af79bc233524___RS_Early.B 7006.JPG,leaf,V,24878,140.8105957070504,149.0,36.37779514621248,86.0,149.0,179.0
potato_early_blight,40d1ccba-b047-4f89-b469-af79bc233524___RS_Early.B 7006.JPG,lesion_proxy,H,1726,25.794901506373115,27.0,7.818308841935627,15.0,27.0,34.0
potato_early_blight,40d1ccba-b047-4f89-b469-af79bc233524___RS_Early.B 7006.JPG,lesion_proxy,S,1726,78.48088064889919,71.0,33.133835047405476,50.0,71.0,111.0
potato_early_blight,40d1ccba-b047-4f89-b469-af79bc233524___RS_Early.B 7006.JPG,lesion_proxy,V,1726,130.93279258400926,133.5,33.297529859596516,99.0,133.5,168.0
potato_early_blight,41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,leaf,H,35799,60.62976619458644,64.0,13.487870449701903,45.0,64.0,72.0
potato_early_blight,41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,leaf,S,35799,63.231570714265764,62.0,17.139439668659286,43.0,62.0,84.0
potato_early_blight,41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,leaf,V,35799,116.76996564149836,117.0,18.12338617294952,95.0,117.0,139.0
potato_early_blight,41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,lesion_proxy,H,2195,22.05603644646925,18.0,16.192775288195016,8.0,18.0,39.0
potato_early_blight,41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,lesion_proxy,S,2195,41.14259681093394,39.0,14.299598847427415,26.0,39.0,58.0
potato_early_blight,41cc6e70-9745-413d-b13d-c4775bcdfa7c___RS_Early.B 7610.JPG,lesion_proxy,V,2195,112.5621867881549,113.0,18.96828982560533,90.0,113.0,134.0
potato_early_blight,43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069.JPG,leaf,H,26085,38.715545332566606,40.0,6.166296026351182,35.0,40.0,44.0
potato_early_blight,43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069.JPG,leaf,S,26085,98.12114241901476,94.0,31.949962790131934,61.0,94.0,142.0
potato_early_blight,43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069.JPG,leaf,V,26085,136.796856430899,140.0,24.529377099597976,103.0,140.0,166.0
potato_early_blight,43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069.JPG,lesion_proxy,H,2525,23.32752475247525,24.0,7.746788207800444,13.0,24.0,34.0
potato_early_blight,43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069.JPG,lesion_proxy,S,2525,71.26693069306931,68.0,24.608201874380136,42.0,68.0,105.0
potato_early_blight,43ddad18-d70a-49d3-97d6-9a5f82ddeecd___RS_Early.B 9069.JPG,lesion_proxy,V,2525,138.42336633663368,141.0,30.00590319073132,98.0,141.0,175.0
potato_early_blight,454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,leaf,H,5206,37.39819439108721,37.0,1.716876470534263,35.0,37.0,40.0
potato_early_blight,454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,leaf,S,5206,125.09585094122167,119.0,27.86157943480012,97.0,119.0,166.0
potato_early_blight,454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,leaf,V,5206,153.71417595082596,158.0,21.992693814465575,127.0,158.0,177.0
potato_early_blight,454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,lesion_proxy,H,43,34.04651162790697,34.0,0.21059035204970736,34.0,34.0,34.0
potato_early_blight,454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,lesion_proxy,S,43,147.72093023255815,147.0,24.84587428331129,119.2,147.0,165.0
potato_early_blight,454203b9-0376-4db3-92ed-047545daa7c6___RS_Early.B 6953.JPG,lesion_proxy,V,43,140.53488372093022,145.0,33.17069934074229,119.2,145.0,173.60000000000002
potato_early_blight,4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,leaf,H,37353,46.12606751800391,47.0,6.0289180509249825,41.0,47.0,51.0
potato_early_blight,4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,leaf,S,37353,90.71565871549808,80.0,38.25105805849163,52.0,80.0,152.0
potato_early_blight,4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,leaf,V,37353,143.34944984338608,151.0,31.63541947319398,94.0,151.0,177.0
potato_early_blight,4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,lesion_proxy,H,1583,25.12318382817435,26.0,9.107242685500378,13.0,26.0,34.0
potato_early_blight,4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,lesion_proxy,S,1583,61.25710675931775,54.0,27.89197596355597,33.0,54.0,107.79999999999995
potato_early_blight,4ab9d59b-57ee-4e22-a6bb-d8152710fd28___RS_Early.B 6857.JPG,lesion_proxy,V,1583,133.83701831964623,140.0,36.06653105710378,71.20000000000002,140.0,173.79999999999995
potato_early_blight,4d5d6c62-61d8-45a3-aada-3ee8bc44e1d5___RS_Early.B 6685.JPG,leaf,H,469,37.54584221748401,38.0,1.8494881400598244,35.0,38.0,40.0
potato_early_blight,4d5d6c62-61d8-45a3-aada-3ee8bc44e1d5___RS_Early.B 6685.JPG,leaf,S,469,117.29850746268657,115.0,26.723818822201327,85.80000000000001,115.0,155.0
potato_early_blight,4d5d6c62-61d8-45a3-aada-3ee8bc44e1d5___RS_Early.B 6685.JPG,leaf,V,469,161.44776119402985,170.0,33.39068886177184,115.00000000000003,170.0,192.0
potato_early_blight,4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,leaf,H,38588,44.36200373173007,46.0,9.012169090418878,35.0,46.0,53.0
potato_early_blight,4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,leaf,S,38588,77.75479423655023,65.0,42.56475194079412,43.0,65.0,132.0
potato_early_blight,4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,leaf,V,38588,147.90318233647767,157.0,36.044361930581005,90.0,157.0,184.0
potato_early_blight,4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,lesion_proxy,H,4185,25.837753882915173,25.0,11.45274259710657,13.0,25.0,37.0
potato_early_blight,4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,lesion_proxy,S,4185,67.03679808841099,55.0,40.20131043084393,36.0,55.0,109.0
potato_early_blight,4da46a9d-7709-4528-acc3-a7be6ace3714___RS_Early.B 7187.JPG,lesion_proxy,V,4185,136.30489844683393,144.0,44.50781937551157,64.0,144.0,186.0
potato_early_blight,4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,leaf,H,31171,40.70462930287768,42.0,8.262595990897369,32.0,42.0,48.0
potato_early_blight,4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,leaf,S,31171,108.6685701453274,103.0,39.98887232460353,63.0,103.0,164.0
potato_early_blight,4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,leaf,V,31171,130.3721407718713,132.0,27.69034884296019,94.0,132.0,164.0
potato_early_blight,4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,lesion_proxy,H,4200,25.413333333333334,25.0,11.377405065819975,12.0,25.0,34.0
potato_early_blight,4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,lesion_proxy,S,4200,90.4954761904762,92.0,32.45155331981014,31.0,92.0,130.0
potato_early_blight,4f71ba26-6612-427b-8dc0-4d8cc909f1fa___RS_Early.B 7122.JPG,lesion_proxy,V,4200,123.41166666666666,120.0,29.09580737401923,90.0,120.0,167.0
potato_early_blight,51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,leaf,H,5647,35.29626350274482,35.0,0.7244070454804319,35.0,35.0,36.0
potato_early_blight,51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,leaf,S,5647,174.61908978218523,175.0,20.252915025947555,147.0,175.0,201.0
potato_early_blight,51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,leaf,V,5647,134.83230033646183,140.0,15.670664197272494,109.0,140.0,151.0
potato_early_blight,51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,lesion_proxy,H,213,33.89201877934272,34.0,0.3103566926016602,33.0,34.0,34.0
potato_early_blight,51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,lesion_proxy,S,213,172.48356807511738,174.0,12.345798640685489,157.0,174.0,185.8
potato_early_blight,51d521bb-5800-4f46-8fd0-f6cb09f37989___RS_Early.B 7572.JPG,lesion_proxy,V,213,140.0,143.0,10.684550735203869,124.4,143.0,150.0
potato_late_blight,0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,leaf,H,21624,49.34304476507584,49.0,5.082719803404461,43.0,49.0,55.0
potato_late_blight,0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,leaf,S,21624,95.02765445800962,94.0,30.34756844306777,56.0,94.0,133.0
potato_late_blight,0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,leaf,V,21624,105.78472992970774,106.0,23.233422914755092,76.0,106.0,136.0
potato_late_blight,0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,lesion_proxy,H,27,41.074074074074076,41.0,6.616063089884183,34.0,41.0,46.0
potato_late_blight,0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,lesion_proxy,S,27,128.11111111111111,144.0,63.709603516635646,29.0,144.0,195.0
potato_late_blight,0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,lesion_proxy,V,27,72.07407407407408,39.0,42.46909632498883,36.6,39.0,137.8
potato_late_blight,0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,leaf,H,5799,43.554578375582,44.0,3.3307752542718103,39.0,44.0,47.0
potato_late_blight,0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,leaf,S,5799,67.99258492843593,66.0,16.3086853017151,51.0,66.0,89.0
potato_late_blight,0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,leaf,V,5799,122.56906363166063,124.0,17.851334153495507,98.0,124.0,145.0
potato_late_blight,0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,lesion_proxy,H,14,33.42857142857143,34.0,0.8206518066482897,33.0,34.0,34.0
potato_late_blight,0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,lesion_proxy,S,14,67.57142857142857,65.0,17.286304594406875,51.9,65.0,79.20000000000002
potato_late_blight,0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,lesion_proxy,V,14,131.64285714285714,136.5,11.744951151495709,119.2,136.5,140.4
potato_late_blight,03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,leaf,H,23550,41.747898089171976,42.0,3.778350840302781,36.0,42.0,47.0
potato_late_blight,03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,leaf,S,23550,104.80700636942674,94.0,42.38640662800226,60.0,94.0,171.0
potato_late_blight,03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,leaf,V,23550,115.68781316348195,119.0,26.19938801118112,79.0,119.0,147.0
potato_late_blight,03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,lesion_proxy,H,105,34.02857142857143,34.0,1.7427790770962985,33.0,34.0,34.0
potato_late_blight,03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,lesion_proxy,S,105,136.96190476190475,121.0,52.212190477580236,88.4,121.0,215.20000000000002
potato_late_blight,03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,lesion_proxy,V,105,108.70476190476191,120.0,39.192303376950555,54.4,120.0,150.0
potato_late_blight,1531198a-c611-47ee-af7d-7b124b863870___RS_LB 4793.JPG,leaf,H,34229,45.90870314645476,46.0,4.901500488806242,40.0,46.0,51.0
potato_late_blight,1531198a-c611-47ee-af7d-7b124b863870___RS_LB 4793.JPG,leaf,S,34229,133.16670075082533,130.0,48.93592713306633,71.0,130.0,206.0
potato_late_blight,1531198a-c611-47ee-af7d-7b124b863870___RS_LB 4793.JPG,leaf,V,34229,97.56148295305151,96.0,25.942950115604248,61.0,96.0,133.0
potato_late_blight,1531198a-c611-47ee-af7d-7b124b863870___RS_LB 4793.JPG,lesion_proxy,H,454,26.277533039647576,26.0,6.129122875099779,18.0,26.0,34.0
potato_late_blight,1531198a-c611-47ee-af7d-7b124b863870___RS_LB 4793.JPG,lesion_proxy,S,454,69.69823788546256,65.0,21.01602381057955,49.0,65.0,97.69999999999999
potato_late_blight,1531198a-c611-47ee-af7d-7b124b863870___RS_LB 4793.JPG,lesion_proxy,V,454,86.1784140969163,87.0,13.57963528233402,71.0,87.0,100.0
potato_late_blight,1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,leaf,H,23569,46.439899868471294,47.0,4.969426310105779,39.0,47.0,52.0
potato_late_blight,1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,leaf,S,23569,100.28554457125885,94.0,39.1113647651485,56.0,94.0,154.0
potato_late_blight,1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,leaf,V,23569,104.56489456489456,106.0,25.41504513533904,70.0,106.0,136.0
potato_late_blight,1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,lesion_proxy,H,263,45.73003802281369,47.0,11.097533843742172,32.0,47.0,60.0
potato_late_blight,1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,lesion_proxy,S,263,67.12927756653993,29.0,58.61550958677126,23.0,29.0,168.60000000000002
potato_late_blight,1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,lesion_proxy,V,263,120.0190114068441,144.0,45.396558760677635,42.60000000000002,144.0,163.0
potato_late_blight,1f84da28-3025-4cc0-8815-5b6b60205956___RS_LB 3326.JPG,leaf,H,13545,43.92750092284976,45.0,3.7471072234237592,38.0,45.0,48.0
potato_late_blight,1f84da28-3025-4cc0-8815-5b6b60205956___RS_LB 3326.JPG,leaf,S,13545,90.59424141749723,84.0,29.289113894966995,59.0,84.0,132.0
potato_late_blight,1f84da28-3025-4cc0-8815-5b6b60205956___RS_LB 3326.JPG,leaf,V,13545,108.77511997046881,108.0,25.780773546164504,77.0,108.0,143.0
