image,class,leaf_px,lesion_px,pct,severity
31a09d39-6791-4ecb-8f44-af2ed85dbd33___RS_HL 1970.JPG,potato_healthy,33755,249,0.74,Saudavel
369479a9-3c28-4d77-8731-9ae54e719af3___RS_HL 1785.JPG,potato_healthy,33033,86,0.26,Saudavel
3a1dbeee-089c-43f0-8f51-a92d3687a515___RS_HL 1754.JPG,potato_healthy,37245,152,0.41,Saudavel
3c0d6888-c7e1-4cf8-9c25-9a0b8c62ba72___RS_HL 1780.JPG,potato_healthy,34791,166,0.48,Saudavel
3f369e63-81eb-4194-a145-df9ed91abc5d___RS_HL 1745.JPG,potato_healthy,30036,467,1.55,Saudavel
468d3107-f09a-4f0d-8b9d-f08d7c49738f___RS_HL 1747.JPG,potato_healthy,29096,388,1.33,Saudavel
46b2555a-c0a6-48c2-af13-0816e147e4de___RS_HL 1943.JPG,potato_healthy,41576,7086,17.04,Leve
4bbccfb6-5720-4c80-9b37-0c3ed8999c9f___RS_HL 1791.JPG,potato_healthy,36938,8017,21.7,Moderada
533abd3a-3e1d-42d0-ae9c-5189282b78af___RS_HL 5369.JPG,potato_healthy,33883,143,0.42,Saudavel
54f86311-9d76-421b-b401-0b02f6e738a5___RS_HL 4172.JPG,potato_healthy,46123,14611,31.68,Moderada
57c2663b-5d1d-4476-b067-38b2149c3b2d___RS_HL 1796.JPG,potato_healthy,31352,92,0.29,Saudavel
57e262fc-e0ba-44db-a967-5ba6f1826e49___RS_HL 1897.JPG,potato_healthy,31820,898,2.82,Saudavel
5cb360dd-5c17-4c57-b31d-97cd8dd8d0bd___RS_HL 1797.JPG,potato_healthy,28084,173,0.62,Saudavel
5ea316eb-10a2-42c0-b781-40d90356ccaa___RS_HL 1935.JPG,potato_healthy,30216,253,0.84,Saudavel
5fcbde8f-52af-4963-b324-ff7f4dd6bd4c___RS_HL 1762.JPG,potato_healthy,33740,42,0.12,Saudavel
6f4b9acd-f34d-4771-a6bc-2001de2dd1d3___RS_HL 1898.JPG,potato_healthy,31048,486,1.57,Saudavel
750584fd-72e0-45c8-b37c-97208bd559cc___RS_HL 1885.JPG,potato_healthy,32933,111,0.34,Saudavel
77c75478-e1f0-4aaa-9cbc-af1fed928a74___RS_HL 1748.JPG,potato_healthy,31301,132,0.42,Saudavel
7948ada9-eabc-4cb7-a579-b73e938eb716___RS_HL 4185.JPG,potato_healthy,46356,8272,17.84,Leve
7e7b6ab4-9adb-4a3b-abfb-8716b0039879___RS_HL 1921.JPG,potato_healthy,33248,131,0.39,Saudavel
8665efd2-fa3d-45f8-b1c0-746c99fb7d1e___RS_HL 1924.JPG,potato_healthy,37516,237,0.63,Saudavel
907f26b7-a14f-463f-a41e-f35d6e0f1417___RS_HL 1757.JPG,potato_healthy,35606,340,0.95,Saudavel
923d4cc3-021a-4bcd-9f5f-1d6f69e4ad33___RS_HL 1888.JPG,potato_healthy,32437,70,0.22,Saudavel
929107f1-4ae9-4dae-8319-ae7cf4804236___RS_HL 1932.JPG,potato_healthy,29089,42,0.14,Saudavel
9c620128-2872-4bbb-bc14-d5b785242cf6___RS_HL 1751.JPG,potato_healthy,35715,228,0.64,Saudavel
a4d1d8cb-26a2-413f-a229-021e2eea87ac___RS_HL 1819.JPG,potato_healthy,29043,341,1.17,Saudavel
a5050bde-febc-4931-b31d-45c9652df318___RS_HL 5373.JPG,potato_healthy,35569,78,0.22,Saudavel
b0fe9fe9-52e7-40e4-b4c0-769f1a0c7fb9___RS_HL 4175.JPG,potato_healthy,62119,36786,59.22,Grave
b42621c3-f751-46e1-a8d2-83ed85b90554___RS_HL 1740.JPG,potato_healthy,36571,183,0.5,Saudavel
b89db9d3-a413-4781-bc88-5f6c2085ab5f___RS_HL 1909.JPG,potato_healthy,38405,4739,12.34,Leve
b925ad3e-fc49-497d-a6eb-115f0de20800___RS_HL 4170.JPG,potato_healthy,41447,1038,2.5,Saudavel
bde33d08-678c-4f84-b80e-fcb986a9a446___RS_HL 5415.JPG,potato_healthy,29997,276,0.92,Saudavel
bf2bffbb-cd8f-4d36-bd58-847808397c75___RS_HL 1786.JPG,potato_healthy,30768,319,1.04,Saudavel
c548fe0e-21c2-4241-b806-1e438a1213bd___RS_HL 1770.JPG,potato_healthy,30224,175,0.58,Saudavel
c6abf1da-b06f-4cd2-8af6-d68be5eff6f9___RS_HL 1766.JPG,potato_healthy,35668,166,0.47,Saudavel
d1752ed4-a0a7-4075-917d-205c0e785dcf___RS_HL 1911.JPG,potato_healthy,32515,318,0.98,Saudavel
d287be3d-cac6-4485-8c31-674fb8b459be___RS_HL 1973.JPG,potato_healthy,34972,472,1.35,Saudavel
dca8ac5c-b925-435a-a5e9-da09fa8938a1___RS_HL 4182.JPG,potato_healthy,34261,704,2.05,Saudavel
f0036dfd-9f46-4f2f-9001-5973495f2171___RS_HL 1849.JPG,potato_healthy,35406,2913,8.23,Leve
f0fdde26-78b4-46f0-9eb8-7c2a743d34aa___RS_HL 4165.JPG,potato_healthy,33603,2496,7.43,Leve
f4b5ec24-d318-4309-8294-9126450d5d7f___RS_HL 1824.JPG,potato_healthy,32620,129,0.4,Saudavel
0085ef03-aec3-431a-99a1-de286e10c0cf___RS_LB 2949.JPG,potato_late_blight,28779,2923,10.16,Leve
0114b195-844c-4978-93a9-b0d5aae010f1___RS_LB 2738.JPG,potato_late_blight,25820,20048,77.65,Grave
03bab48b-962b-4c08-bc98-da95237d20ac___RS_LB 3190.JPG,potato_late_blight,33689,10520,31.23,Moderada
1531198a-c611-47ee-af7d-7b124b863870___RS_LB 4793.JPG,potato_late_blight,37762,3825,10.13,Leve
1b8f80ae-38a2-4d08-ae92-f80ff4459a73___RS_LB 2554.JPG,potato_late_blight,29170,5591,19.17,Leve
1f84da28-3025-4cc0-8815-5b6b60205956___RS_LB 3326.JPG,potato_late_blight,31848,17354,54.49,Grave
25bf1e56-4039-4d92-9a66-65b62e3b0f4d___RS_LB 4949.JPG,potato_late_blight,32241,6498,20.15,Moderada
28cbad12-8d41-4d36-a6df-db0d35ee1ce0___RS_LB 2922.JPG,potato_late_blight,28260,5471,19.36,Leve
2ef5c4f6-a798-40fd-8380-f444f3290987___RS_LB 4428.JPG,potato_late_blight,30376,1294,4.26,Saudavel
31b2a640-4063-41f1-97c5-03ceca0ce131___RS_LB 5439.JPG,potato_late_blight,40214,3092,7.69,Leve
324a0ba8-726a-4e6c-a15f-c32a1904f891___RS_LB 3078.JPG,potato_late_blight,30473,15219,49.94,Moderada
3e81c41f-5b6b-4458-8aa8-6a544a8e678c___RS_LB 4963.JPG,potato_late_blight,33308,3340,10.03,Leve
3f2d7c62-8d58-4a40-9df4-0ab3497b13b9___RS_LB 4487.JPG,potato_late_blight,56734,47860,84.36,Grave
4215b9d5-c554-4249-80e1-aeaf2106e966___RS_LB 2977.JPG,potato_late_blight,32673,5806,17.77,Leve
42b19bb3-68b6-4c46-a626-f7480718360a___RS_LB 4686.JPG,potato_late_blight,62644,48146,76.86,Grave
4664efe7-50ae-4a32-b818-2ec7f3881471___RS_LB 4478.JPG,potato_late_blight,43193,40033,92.68,Grave
4a911e79-f9c0-4ba1-aa80-567d653df61c___RS_LB 4038.JPG,potato_late_blight,29561,1776,6.01,Leve
4afd8bf6-0e1e-4a85-a576-1e8995c88d5c___RS_LB 2505.JPG,potato_late_blight,27675,3673,13.27,Leve
4eaf1f96-f7f4-4a92-ba67-0147de20ab72___RS_LB 4830.JPG,potato_late_blight,36466,6122,16.79,Leve
50abdfe1-411f-4afe-8f78-1ffb7816792f___RS_LB 2694.JPG,potato_late_blight,32277,2562,7.94,Leve
516099d5-5399-4d6e-916d-014a84a02a18___RS_LB 4118.JPG,potato_late_blight,33128,1287,3.88,Saudavel
5318452f-222d-4abc-b39c-55fa6c26a82a___RS_LB 3063.JPG,potato_late_blight,35192,17397,49.43,Moderada
6e9fc91a-e20f-4431-bc54-8492d7ec788e___RS_LB 4527.JPG,potato_late_blight,32797,19106,58.26,Grave
71f6c664-3b77-45ef-a1de-e00685c78add___RS_LB 4441.JPG,potato_late_blight,26936,7825,29.05,Moderada
72e10017-f8a6-4813-8036-0cde4dad6057___RS_LB 4666.JPG,potato_late_blight,65506,60108,91.76,Grave
75a1ae7b-9b93-4a9f-9eca-70b4b9e9f5ff___RS_LB 4739.JPG,potato_late_blight,37219,129,0.35,Saudavel
764311f2-6fd3-424d-aabc-9ad013a41997___RS_LB 3136.JPG,potato_late_blight,33563,14112,42.05,Moderada
7a0b26a9-4abe-4e84-ad20-699b0c0cd27e___RS_LB 4376.JPG,potato_late_blight,49479,31818,64.31,Grave
7e1cd97d-b5a3-4c92-b258-0aa90e6fb806___RS_LB 4826.JPG,potato_late_blight,28573,4370,15.29,Leve
84559c6d-0589-4d8d-8fc3-a818b067f85c___RS_LB 4608.JPG,potato_late_blight,35850,7962,22.21,Moderada
889d5479-9d54-49b1-9aba-3af34e377592___RS_LB 2635.JPG,potato_late_blight,42882,8570,19.99,Leve
8a2f2feb-3738-4675-9cb6-b1911a056dd1___RS_LB 2601.JPG,potato_late_blight,32402,6266,19.34,Leve
990428a4-bfa8-450d-a755-fade1df0a214___RS_LB 4082.JPG,potato_late_blight,33061,91,0.28,Saudavel
a6b27bfe-0e60-4984-98ca-af4b2316dfff___RS_LB 3881.JPG,potato_late_blight,23117,2542,11.0,Leve
a7dc8b54-5e4a-4055-ae98-eba4268cf966___RS_LB 5243.JPG,potato_late_blight,36918,2309,6.25,Leve
a838f0ba-745a-4c0b-9895-f3349a6cee4a___RS_LB 4959.JPG,potato_late_blight,28495,2317,8.13,Leve
a88a6388-09fa-4cfc-a82e-94d5fd3b4972___RS_LB 2748.JPG,potato_late_blight,37037,10552,28.49,Moderada
a9c8a264-33be-48f1-bd1d-2cc6c9c8e247___RS_LB 4888.JPG,potato_late_blight,34135,9336,27.35,Moderada
ae5b08fa-25b7-4006-8b1b-2415356b3847___RS_LB 5453.JPG,potato_late_blight,38201,9211,24.11,Moderada
b167bd40-798f-4e70-a735-f191350dd057___RS_LB 4017.JPG,potato_late_blight,27979,9672,34.57,Moderada
b9474ec5-5a67-4207-98ec-5671c19f8f59___RS_LB 2545.JPG,potato_late_blight,28531,2869,10.06,Leve
c89d5a2a-2c1e-496e-84b8-b7a844a97ac9___RS_LB 4920.JPG,potato_late_blight,28725,8538,29.72,Moderada
d36e9212-7594-4e4d-9062-0a98bc689729___RS_LB 5055.JPG,potato_late_blight,35153,16975,48.29,Moderada
d378a0c5-d275-44a4-9f00-f7f180270f4d___RS_LB 2781.JPG,potato_late_blight,37780,6442,17.05,Leve
d71490c0-7315-4301-b9cd-19de9357a2f7___RS_LB 3203.JPG,potato_late_blight,32112,5917,18.43,Leve
d7ef98cc-2d20-42ef-983a-5e45805a8ee6___RS_LB 3841.JPG,potato_late_blight,31221,336,1.08,Saudavel
d7fdf2fa-8a55-4ff5-86a2-ca73c5883e93___RS_LB 4665.JPG,potato_late_blight,65536,58481,89.23,Grave
e4d454e4-c1e4-4597-8e76-77a93465b41d___RS_LB 2868.JPG,potato_late_blight,42788,21407,50.03,Grave
e9cc84b7-fc38-4e65-a129-c7a63df76780___RS_LB 2705.JPG,potato_late_blight,30092,1480,4.92,Saudavel
f7936082-7315-477d-9710-529a7024b32d___RS_LB 2546.JPG,potato_late_blight,29992,4933,16.45,Leve
00c5c908-fc25-4710-a109-db143da23112___RS_Erly.B 7778.JPG,tomato_early_blight,23686,538,2.27,Saudavel
0114f7b3-7f56-4bef-aa47-7a82da142d4b___RS_Erly.B 7437.JPG,tomato_early_blight,31789,7253,22.82,Moderada
05fab431-cc13-4d6d-b4e1-912e0059c7c1___RS_Erly.B 8349.JPG,tomato_early_blight,36651,27487,75.0,Grave
13c87a78-0a62-4aff-b6f3-fcbf1a8323e6___RS_Erly.B 9612.JPG,tomato_early_blight,28516,23,0.08,Saudavel
197fa869-c124-436e-b3cd-bced95f52a8e___RS_Erly.B 7834.JPG,tomato_early_blight,24015,6387,26.6,Moderada
1e02dbef-ecc2-4c1b-ae5a-b90057505574___RS_Erly.B 9475.JPG,tomato_early_blight,32826,3808,11.6,Leve
240300f1-a601-4363-84e8-670af8a124a1___RS_Erly.B 7762.JPG,tomato_early_blight,22884,447,1.95,Saudavel
250df77c-cb57-4e85-9cf2-531033930030___RS_Erly.B 6477.JPG,tomato_early_blight,23641,4180,17.68,Leve
2998c7f2-9f4f-4734-aa39-403dd7211869___RS_Erly.B 7528.JPG,tomato_early_blight,27550,1354,4.91,Saudavel
2d3d1221-2f62-43ad-8256-b560c1872934___RS_Erly.B 7465.JPG,tomato_early_blight,27321,10298,37.69,Moderada
2f3c483a-b18d-4571-8c00-fb24f166d328___RS_Erly.B 7667.JPG,tomato_early_blight,22326,3103,13.9,Leve
38b7f839-7d01-4062-a858-a64b841b7996___RS_Erly.B 7390.JPG,tomato_early_blight,24783,4203,16.96,Leve
394ebb8a-49b8-4122-bd81-f3c862491db9___RS_Erly.B 7513.JPG,tomato_early_blight,16475,1979,12.01,Leve
3b3193c5-e717-4b40-b450-7ee5c6e22d1a___RS_Erly.B 9382.JPG,tomato_early_blight,28659,1176,4.1,Saudavel
3be94535-c405-4f67-99cb-6ffc5f596639___RS_Erly.B 7783.JPG,tomato_early_blight,17579,5064,28.81,Moderada
420da335-510d-4e55-ac9c-2cad3530ad68___RS_Erly.B 8442.JPG,tomato_early_blight,37603,31505,83.78,Grave
45d27217-fbb3-4b74-93e7-d84f70b784f8___RS_Erly.B 7713.JPG,tomato_early_blight,29358,1021,3.48,Saudavel
468a0f48-b0c4-4969-9f21-826cb3ae3f61___RS_Erly.B 7725.JPG,tomato_early_blight,14318,281,1.96,Saudavel
493f53cc-b8d5-4c71-9446-30f0365f1e4b___RS_Erly.B 7583.JPG,tomato_early_blight,30595,1610,5.26,Leve
4a352896-5a0f-4e42-aba1-f06045d5b531___RS_Erly.B 7765.JPG,tomato_early_blight,17899,398,2.22,Saudavel
4aa63e45-c531-40e2-86ca-a788e74d4f18___RS_Erly.B 7549.JPG,tomato_early_blight,24349,1803,7.4,Leve
4d4da4c4-3de3-4eb5-93d4-a78bf274270b___RS_Erly.B 9538.JPG,tomato_early_blight,29902,4735,15.84,Leve
61f57acc-088f-45e0-b0b5-860120082ae9___RS_Erly.B 7388.JPG,tomato_early_blight,30010,1049,3.5,Saudavel
65590648-dcda-4455-b1ca-9311e4e6d0af___RS_Erly.B 7659.JPG,tomato_early_blight,30747,3032,9.86,Leve
66c98dd1-2790-4977-91ee-1b10ca8c687b___RS_Erly.B 8418.JPG,tomato_early_blight,33462,2176,6.5,Leve
6b52f204-547d-47aa-926c-b9508a5e6cbc___RS_Erly.B 7434.JPG,tomato_early_blight,30251,6206,20.52,Moderada
6c3feee9-23a8-46c4-8ded-5b0ef2e49ff5___RS_Erly.B 9370.JPG,tomato_early_blight,30963,13720,44.31,Moderada
73f4d791-745e-49b8-82d8-e29b24ddd0e5___RS_Erly.B 7593.JPG,tomato_early_blight,28549,1211,4.24,Saudavel
76b0d46d-8e2b-463b-8cba-eaeee6dc1851___RS_Erly.B 9527.JPG,tomato_early_blight,27893,2311,8.29,Leve
7b962f23-1e0e-4c28-b741-d21c51ab6d4b___RS_Erly.B 7835.JPG,tomato_early_blight,20224,4553,22.51,Moderada
8039671d-c264-49aa-bfbc-81fabe24b007___RS_Erly.B 9397.JPG,tomato_early_blight,33712,5767,17.11,Leve
815fb4d0-7902-45a2-a7c7-2ee400a2e25a___RS_Erly.B 7646.JPG,tomato_early_blight,29524,5228,17.71,Leve
92df4dc7-e952-4454-9fed-a7897d16903b___RS_Erly.B 6448.JPG,tomato_early_blight,21946,985,4.49,Saudavel
a007bf16-ab14-4d3c-99b1-0710882cbb17___RS_Erly.B 9388.JPG,tomato_early_blight,30791,14977,48.64,Moderada
a1d275d1-5405-4829-9328-4225ffe69506___RS_Erly.B 7515.JPG,tomato_early_blight,23009,3904,16.97,Leve
a1e875bd-5c06-4031-b0c0-9413d754df0e___RS_Erly.B 8221.JPG,tomato_early_blight,35767,32111,89.78,Grave
a24d6927-cb21-4d9b-acc1-780ef36cbbf8___RS_Erly.B 7671.JPG,tomato_early_blight,25475,3755,14.74,Leve
a2ec9710-99ea-4dc5-a88c-69974e0557dc___RS_Erly.B 9412.JPG,tomato_early_blight,28032,17115,61.06,Grave
a6d7438a-35f6-40fb-ab5c-a46cdfef7e83___RS_Erly.B 9594.JPG,tomato_early_blight,29080,3846,13.23,Leve
ab6d16d4-8426-472d-9644-61609392cd6a___RS_Erly.B 7628.JPG,tomato_early_blight,28791,4060,14.1,Leve
b559ff8f-efd7-4897-8596-69447c2e6b89___RS_Erly.B 6409.JPG,tomato_early_blight,20182,9013,44.66,Moderada
c581e384-d3bd-4a55-a03a-761ebe1e4895___RS_Erly.B 7567.JPG,tomato_early_blight,26858,4967,18.49,Leve
cd2d8a7b-2389-4a2c-8647-b986092fa506___RS_Erly.B 8377.JPG,tomato_early_blight,37999,12841,33.79,Moderada
cd76ee4d-d516-4189-b40b-12959dc02f91___RS_Erly.B 7798.JPG,tomato_early_blight,13991,218,1.56,Saudavel
d41e78aa-0020-457b-a17d-736d426adad5___RS_Erly.B 7755.JPG,tomato_early_blight,17133,3258,19.02,Leve
d4a47a64-0c10-4a43-8712-4eee11c8cf1b___RS_Erly.B 9524.JPG,tomato_early_blight,30345,1339,4.41,Saudavel
d4d20c99-4cf3-4ecc-95ae-a964560cfeed___RS_Erly.B 9604.JPG,tomato_early_blight,38208,23335,61.07,Grave
e6645f63-afc8-416a-a4cb-0f5c719476ae___RS_Erly.B 6419.JPG,tomato_early_blight,26015,15856,60.95,Grave
eaf0d111-089a-4808-a34c-dd40e3bb4db4___RS_Erly.B 8393.JPG,tomato_early_blight,43494,34953,80.36,Grave
f7682a27-eeb7-4e22-89f0-df8531c5fb8f___RS_Erly.B 7728.JPG,tomato_early_blight,35151,5693,16.2,Leve
003944fc-3b99-4a0f-9ed4-0e07352fd8b3___RS_HL 9844.JPG,tomato_healthy,28585,1333,4.66,Saudavel
014b5e19-7917-4d76-b632-b5dd31d999ec___RS_HL 9640.JPG,tomato_healthy,18538,157,0.85,Saudavel
042d59c2-2fd8-45c2-91bb-c0a05dd07f30___RS_HL 0257.JPG,tomato_healthy,24073,1765,7.33,Leve
0cfolha_ccet.jpeg,tomato_healthy,30833,12840,41.64,Moderada
0d259481-e08d-459d-aa92-fe05e1524742___GH_HL Leaf 253.1.JPG,tomato_healthy,20518,0,0.0,Saudavel
10126910-47a0-4b22-b3ee-ce9eb4d5d7b5___GH_HL Leaf 350.JPG,tomato_healthy,18648,0,0.0,Saudavel
13a4fd9b-13eb-4fcd-af7d-b6c76fbbf456___GH_HL Leaf 272.JPG,tomato_healthy,32298,0,0.0,Saudavel
16f3a461-aafc-49e9-8973-39a52190985a___RS_HL 9803.JPG,tomato_healthy,29654,1276,4.3,Saudavel
18fa622c-8257-479a-9c81-7a6fe9a3a41b___GH_HL Leaf 428.JPG,tomato_healthy,25698,0,0.0,Saudavel
1ca23194-53c1-44a9-973a-39aa073f4a33___RS_HL 0058.JPG,tomato_healthy,27267,5262,19.3,Leve
1dfb5aeb-8d00-4672-9755-5da982758453___RS_HL 9987.JPG,tomato_healthy,33320,5236,15.71,Leve
1e5e6f9d-6d14-4ea7-9c36-c6a559e567d7___RS_HL 9780.JPG,tomato_healthy,30396,720,2.37,Saudavel
267fd403-bea5-4a99-ae97-ea1c272623a1___GH_HL Leaf 440.1.JPG,tomato_healthy,22439,0,0.0,Saudavel
275d05cf-89de-45bc-9928-ac6f242c9dd7___RS_HL 0572.JPG,tomato_healthy,28668,3770,13.15,Leve
2956235c-12ff-403f-be91-60868a42ad3e___RS_HL 9849.JPG,tomato_healthy,29206,205,0.7,Saudavel
2996b910-fc94-43ef-99b3-efc0ae494872___RS_HL 0410.JPG,tomato_healthy,29795,3726,12.51,Leve
2b6c6705-59ce-4afe-8ad1-62a367ea10e0___RS_HL 9994.JPG,tomato_healthy,32633,2528,7.75,Leve
2d6ecece-b67e-42f1-924b-3a5dbd95d5ef___RS_HL 0282.JPG,tomato_healthy,35342,10322,29.21,Moderada
